time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1474.631014586128,258814.5,18.738557815551758,231.9713331245939,131.15975006177797,66836,0
1474.6514473999123,258778.53125,18.733688354492188,231.97229223450154,131.15996192697767,66837,0
1474.6718802139367,258742.953125,18.73272132873535,231.9719484011418,131.1601623681864,66838,0
1474.6923130281357,258735.859375,18.732431411743164,231.97198091736735,131.16003781249023,66839,0
1474.7127458425675,258749.796875,18.73272705078125,231.97236284001394,131.16040220598833,66840,0
1474.7331787572257,258724.171875,18.73282241821289,231.97215382744062,131.15997634238406,66841,0
1474.7536114720642,258788.515625,18.733444213867188,231.97204731037343,131.16032970956513,66842,0
1474.774044287129,258774.890625,18.7325382232666,231.9719654862021,131.16061205190098,66843,0
1474.7944772023766,258772.109375,18.732240676879883,231.97213778788182,131.1605018203068,66844,0
1474.8149099178554,258769.6875,18.732147216796875,231.97203932855257,131.16039901651712,66845,0
1474.8353427335678,258800.5625,18.733457565307617,231.97224261449966,131.1610180687188,66846,0
1474.8557756494483,258764.671875,18.732440948486328,231.97255689285873,131.161136020203,66847,0
1474.87620846551,258743.953125,18.733749389648438,231.9724759403412,131.16120043678572,66848,0
1474.8966411818546,258769.125,18.732158660888672,231.97245621155477,131.16077075307726,66849,0
1474.9170740983827,258769.171875,18.732152938842773,231.972367462488,131.1610280776279,66850,0
1474.9375069150847,258753.515625,18.731937408447266,231.97254830247422,131.16142086071028,66851,0
1474.9579397320122,258689.984375,18.731142044067383,231.97269715837453,131.16118868862773,66852,0
1474.9783725491798,258719.6875,18.7320613861084,231.9725301270881,131.16174931855107,66853,0
1474.998805366522,258719.9375,18.731582641601562,231.97256283359206,131.16178727641605,66854,0
1475.0192382840905,258742.390625,18.7318172454834,231.97267316920065,131.1616758246815,66855,0
1475.0396710018977,258725.40625,18.733030319213867,231.9727451881696,131.16148383273725,66856,0
1475.0601038198802,258717.453125,18.73195457458496,231.97239919693786,131.1615857279263,66857,0
1475.080536738089,258747.453125,18.732494354248047,231.9725471449522,131.16198398054175,66858,0
1475.1009694564782,258750.421875,18.73238182067871,231.97270623613468,131.1621527704856,66859,0
1475.1214023751018,258785.796875,18.73297882080078,231.9723748139901,131.1619885126532,66860,0
1475.14183519395,258743.953125,18.7324275970459,231.97283175970745,131.16240312597762,66861,0
1475.1622679129796,258724.4375,18.731891632080078,231.9730785851151,131.1624383952786,66862,0
1475.1827008322434,258728.984375,18.732248306274414,231.9733770016807,131.1623639978178,66863,0
